No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,year
,Scott Machado,PG,6-1,205,"June 8, 1990",us,R,Iona College,2013
4.0,Brandon Rush,SF,6-6,220,"July 7, 1985",us,4,Kansas,2013
22.0,Malcolm Thomas,PF,6-9,225,"November 8, 1988",us,1,"Pepperdine, San Diego State",2013
11.0,Klay Thompson,SG,6-6,215,"February 8, 1990",us,1,Washington State,2013
3.0,Jeremy Tyler,C,6-10,260,"June 21, 1991",us,1,,2013
57,Hilton Armstrong,C,6-11,235,"November 11, 1984",us,5,UConn,2014
40,Harrison Barnes,SF,6-8,225,"May 30, 1992",us,1,UNC,2014
20,Kent Bazemore,SG,6-4,195,"July 1, 1989",us,1,Old Dominion,2014
25,Steve Blake,PG,6-3,172,"February 26, 1980",us,10,Maryland,2014
12,Andrew Bogut,C,7-0,260,"November 28, 1984",au,8,Utah,2014
2,MarShon Brooks,SG,6-5,200,"January 26, 1989",us,2,Providence,2014
55,Jordan Crawford,SG,6-4,195,"October 23, 1988",us,3,"Indiana, Xavier",2014
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,4,Davidson,2014
21,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us,R,USC,2014
0,Toney Douglas,PG,6-2,195,"March 16, 1986",us,4,"Auburn, Florida State",2014
23,Draymond Green,SF,6-6,230,"March 4, 1990",us,1,Michigan State,2014
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",us,9,Arizona,2014
1,Ognjen Kuzmić,C,7-1,251,"May 16, 1990",ba,R,,2014
10,David Lee,PF,6-9,245,"April 29, 1983",us,8,Florida,2014
8,Nemanja Nedović,SG,6-3,192,"June 16, 1991",rs,R,,2014
7,Jermaine O'Neal,PF,6-11,226,"October 13, 1978",us,17,,2014
5,Marreese Speights,C,6-10,255,"August 4, 1987",us,5,Florida,2014
11,Klay Thompson,SG,6-6,215,"February 8, 1990",us,2,Washington State,2014
19,Leandro Barbosa,SG,6-3,194,"November 28, 1982",br,11,,2015
40,Harrison Barnes,SF,6-8,225,"May 30, 1992",us,2,UNC,2015
12,Andrew Bogut,C,7-0,260,"November 28, 1984",au,9,Utah,2015
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,5,Davidson,2015
31,Festus Ezeli,C,6-11,255,"October 21, 1989",ng,1,Vanderbilt,2015
23,Draymond Green,PF,6-6,230,"March 4, 1990",us,2,Michigan State,2015
7,Justin Holiday,SG,6-6,180,"April 5, 1989",us,1,Washington,2015
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",us,10,Arizona,2015
1,Ognjen Kuzmić,C,7-1,251,"May 16, 1990",ba,1,,2015
10,David Lee,PF,6-9,245,"April 29, 1983",us,9,Florida,2015
34,Shaun Livingston,PG,6-7,192,"September 11, 1985",us,9,,2015
20,James Michael McAdoo,PF,6-9,230,"January 4, 1993",us,R,UNC,2015
4,Brandon Rush,SG,6-6,220,"July 7, 1985",us,6,Kansas,2015
5,Marreese Speights,C,6-10,255,"August 4, 1987",us,6,Florida,2015
11,Klay Thompson,SG,6-6,215,"February 8, 1990",us,3,Washington State,2015
19,Leandro Barbosa,SG,6-3,194,"November 28, 1982",br,12,,2016
40,Harrison Barnes,SF,6-8,225,"May 30, 1992",us,3,UNC,2016
12,Andrew Bogut,C,7-0,260,"November 28, 1984",au,10,Utah,2016
21,Ian Clark,SG,6-3,175,"March 7, 1991",us,2,Belmont,2016
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,6,Davidson,2016
31,Festus Ezeli,C,6-11,255,"October 21, 1989",ng,2,Vanderbilt,2016
23,Draymond Green,PF,6-6,230,"March 4, 1990",us,3,Michigan State,2016
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",us,11,Arizona,2016
34,Shaun Livingston,PG,6-7,192,"September 11, 1985",us,10,,2016
36,Kevon Looney,PF,6-9,222,"February 6, 1996",us,R,UCLA,2016
20,James Michael McAdoo,PF,6-9,230,"January 4, 1993",us,1,UNC,2016
4,Brandon Rush,SG,6-6,220,"July 7, 1985",us,7,Kansas,2016
5,Marreese Speights,C,6-10,255,"August 4, 1987",us,7,Florida,2016
1,Jason Thompson,C,6-11,250,"July 21, 1986",us,7,Rider University,2016
11,Klay Thompson,SG,6-6,215,"February 8, 1990",us,4,Washington State,2016
18,Anderson Varejão,C,6-11,273,"September 28, 1982",br,11,,2016
22,Matt Barnes,SF,6-7,226,"March 9, 1980",us,13,UCLA,2017
21,Ian Clark,SG,6-3,175,"March 7, 1991",us,3,Belmont,2017
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,7,Davidson,2017
35,Kevin Durant,PF,6-11,240,"September 29, 1988",us,9,Texas,2017
23,Draymond Green,PF,6-6,230,"March 4, 1990",us,4,Michigan State,2017
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",us,12,Arizona,2017
15,Damian Jones,C,6-11,245,"June 30, 1995",us,R,Vanderbilt,2017
34,Shaun Livingston,PG,6-7,192,"September 11, 1985",us,11,,2017
5,Kevon Looney,C,6-9,222,"February 6, 1996",us,1,UCLA,2017
20,James Michael McAdoo,PF,6-9,230,"January 4, 1993",us,2,UNC,2017
0,Patrick McCaw,SG,6-7,181,"October 25, 1995",us,R,UNLV,2017
1,JaVale McGee,C,7-0,270,"January 19, 1988",us,8,Nevada,2017
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge,13,,2017
11,Klay Thompson,SG,6-6,215,"February 8, 1990",us,5,Washington State,2017
18,Anderson Varejão,C,6-11,273,"September 28, 1982",br,12,,2017
2,Briante Weber,PG,6-2,165,"December 29, 1992",us,1,VCU,2017
3,David West,C,6-9,250,"August 29, 1980",us,13,Xavier,2017
2,Jordan Bell,C,6-8,216,"January 7, 1995",us,R,Oregon,2018
25,Chris Boucher,PF,6-9,200,"January 11, 1993",lc,R,Oregon,2018
18,Omri Casspi,SF,6-9,225,"June 22, 1988",il,8,,2018
4,Quinn Cook,PG,6-1,180,"March 23, 1993",us,1,Duke,2018
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,8,Davidson,2018
35,Kevin Durant,SF,6-11,240,"September 29, 1988",us,10,Texas,2018
23,Draymond Green,PF,6-6,230,"March 4, 1990",us,5,Michigan State,2018
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",us,13,Arizona,2018
15,Damian Jones,C,6-11,245,"June 30, 1995",us,1,Vanderbilt,2018
34,Shaun Livingston,PG,6-7,192,"September 11, 1985",us,12,,2018
5,Kevon Looney,C,6-9,222,"February 6, 1996",us,2,UCLA,2018
0,Patrick McCaw,SG,6-7,181,"October 25, 1995",us,1,UNLV,2018
1,JaVale McGee,C,7-0,270,"January 19, 1988",us,9,Nevada,2018
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge,14,,2018
11,Klay Thompson,SG,6-6,215,"February 8, 1990",us,6,Washington State,2018
3,David West,C,6-9,250,"August 29, 1980",us,14,Xavier,2018
6,Nick Young,SG,6-7,210,"June 1, 1985",us,10,USC,2018
2,Jordan Bell,C,6-8,216,"January 7, 1995",us,1,Oregon,2019
12,Andrew Bogut,C,7-0,260,"November 28, 1984",au,13,Utah,2019
4,Quinn Cook,PG,6-1,180,"March 23, 1993",us,2,Duke,2019
0,DeMarcus Cousins,C,6-10,270,"August 13, 1990",us,8,Kentucky,2019
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,9,Davidson,2019
32,Marcus Derrickson,PF,6-7,249,"February 1, 1996",us,R,Georgetown,2019
35,Kevin Durant,SF,6-11,240,"September 29, 1988",us,11,Texas,2019
10,Jacob Evans,SG,6-4,210,"June 18, 1997",us,R,Cincinnati,2019
23,Draymond Green,PF,6-6,230,"March 4, 1990",us,6,Michigan State,2019
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",us,14,Arizona,2019
21,Jonas Jerebko,PF,6-10,231,"March 2, 1987",se,8,,2019
15,Damian Jones,C,6-11,245,"June 30, 1995",us,2,Vanderbilt,2019
1,Damion Lee,SG,6-5,210,"October 21, 1992",us,1,"Drexel, Louisville",2019
34,Shaun Livingston,PG,6-7,192,"September 11, 1985",us,13,,2019
5,Kevon Looney,C,6-9,222,"February 6, 1996",us,3,UCLA,2019
28,Alfonzo McKinnie,SF,6-7,215,"September 17, 1992",us,1,Green Bay,2019
11,Klay Thompson,SG,6-6,215,"February 8, 1990",us,7,Washington State,2019
10,Dragan Bender,PF,7-0,225,"November 17, 1997",ba,3,,2020
12,Ky Bowman,PG,6-1,187,"June 16, 1997",us,R,Boston College,2020
"8, 20",Alec Burks,SF,6-6,214,"July 20, 1991",us,8,Colorado,2020
2,Willie Cauley-Stein,C,7-0,240,"August 18, 1993",us,4,Kentucky,2020
32,Marquese Chriss,PF,6-9,240,"July 2, 1997",us,3,Washington,2020
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,10,Davidson,2020
10,Jacob Evans,SG,6-4,210,"June 18, 1997",us,1,Cincinnati,2020
23,Draymond Green,PF,6-6,230,"March 4, 1990",us,7,Michigan State,2020
1,Damion Lee,SG,6-5,210,"October 21, 1992",us,2,"Drexel, Louisville",2020
5,Kevon Looney,C,6-9,222,"February 6, 1996",us,4,UCLA,2020
15,Mychal Mulder,SF,6-3,184,"June 12, 1994",ca,R,"Vincennes University, Kentucky",2020
21,Zach Norvell,SG,6-5,206,"December 9, 1997",us,R,Gonzaga,2020
20,Jeremy Pargo,PG,6-2,219,"March 17, 1986",us,2,Gonzaga,2020
7,Eric Paschall,PF,6-6,255,"November 4, 1996",us,R,"Fordham, Villanova",2020
3,Jordan Poole,SG,6-4,194,"June 19, 1999",us,R,Michigan,2020
25,Chasson Randle,PG,6-2,185,"February 5, 1993",us,2,Stanford,2020
22,Glenn Robinson III,SF,6-6,222,"January 8, 1994",us,5,Michigan,2020
0,D'Angelo Russell,PG,6-4,193,"February 23, 1996",us,4,Ohio State,2020
6,Alen Smailagić,C,6-10,215,"August 18, 2000",rs,R,,2020
4,Omari Spellman,C,6-8,245,"July 21, 1997",us,1,Villanova,2020
95,Juan Toscano-Anderson,SG,6-6,209,"April 10, 1993",us,R,Marquette,2020
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca,5,Kansas,2020
